,,Default,HHInsurance,CarLoan,LastContactDay,NoOfContacts,DaysPassed,PrevAttempts,CallLength,CallStartHour,LastContactWkd,LastContactMon,LastContactWk,LastContactWkNum,Job_other,Marital_divorced,Marital_married,Marital_single,Education_0,Communication_other,Outcome_NoPrev,Outcome_other
train,1406,0,0,0,27,7,-1,0,1.1833333333333333,10,5,8,34,4,1,0,1,0,1,1,1,0
train,1407,0,1,1,5,1,-1,0,1.25,12,6,6,22,1,1,0,1,0,1,1,1,0
train,1408,0,0,0,25,1,-1,0,2.6166666666666667,14,5,6,25,4,1,0,1,0,1,1,1,0
train,1409,0,0,0,21,1,-1,0,12.483333333333333,13,4,10,42,4,1,1,0,0,1,1,1,0
train,1410,0,1,1,9,3,-1,0,4.333333333333333,14,5,4,14,2,1,0,1,0,1,1,1,0
train,1411,0,1,0,13,1,-1,0,10.983333333333333,10,4,5,19,2,1,0,1,0,1,1,1,0
train,1412,0,0,0,16,1,96,2,3.3666666666666667,12,2,11,46,3,1,0,0,1,1,1,0,1
train,1413,0,0,0,27,4,-1,0,1.05,9,5,8,34,4,1,0,1,0,1,1,1,0
train,1414,0,0,0,18,3,-1,0,1.8666666666666667,13,5,6,24,3,1,0,1,0,1,1,1,0
train,1415,0,1,0,16,2,-1,0,2.3,12,0,5,20,3,1,0,1,0,1,1,1,0
train,1416,0,0,1,18,2,152,1,2.25,16,4,11,46,3,1,0,1,0,1,1,0,1
train,1417,0,0,0,12,1,-1,0,2.933333333333333,13,1,4,15,3,1,0,1,0,1,1,1,0
train,1418,0,1,1,15,4,-1,0,2.433333333333333,12,4,7,28,3,1,0,1,0,1,1,1,0
train,1419,0,0,0,11,2,108,14,5.283333333333333,17,1,10,41,3,1,0,0,1,1,1,0,1
train,1420,0,1,0,29,1,195,5,1.4166666666666667,16,4,1,4,4,1,0,1,0,1,1,0,1
train,1421,0,0,0,9,7,-1,0,3.683333333333333,10,3,6,23,2,1,0,0,1,1,1,1,0
train,1422,0,1,0,4,1,-1,0,15.133333333333333,16,5,6,22,1,1,1,0,0,1,1,1,0
train,1423,0,1,0,3,1,-1,0,19.65,17,2,8,31,1,1,0,1,0,1,1,1,0
train,1424,0,1,1,2,6,-1,0,1.3833333333333333,17,3,6,22,1,1,0,1,0,1,1,1,0
train,1425,0,0,0,10,2,110,2,1.6333333333333333,14,3,11,45,2,1,0,0,1,1,1,0,1
train,1426,0,0,0,3,2,389,1,7.3,12,6,7,26,1,1,0,1,0,1,1,0,1
train,1427,0,1,0,13,2,-1,0,12.85,17,4,5,19,2,1,0,1,0,1,1,1,0
train,1428,0,1,0,30,1,350,2,5.266666666666667,10,5,4,17,5,1,0,1,0,1,1,0,1
train,1429,0,0,0,29,4,-1,0,1.3166666666666667,13,0,8,35,5,1,0,0,1,1,1,1,0
train,1430,0,1,0,19,4,-1,0,0.7333333333333333,14,5,11,46,3,1,0,1,0,1,1,1,0
train,1431,0,0,0,15,5,-1,0,8.566666666666666,10,4,7,28,3,1,1,0,0,1,1,1,0
train,1432,0,0,0,11,2,-1,0,4.483333333333333,16,3,8,32,2,1,0,0,1,1,1,1,0
train,1433,0,0,0,6,8,212,4,0.15,17,5,2,5,1,1,0,1,0,1,1,0,1
train,1434,1,1,0,23,2,-1,0,5.883333333333334,17,0,5,21,4,1,0,0,1,1,1,1,0
train,1435,0,0,0,21,1,-1,0,3.45,16,0,11,47,4,1,0,1,0,1,1,1,0
train,1436,0,0,0,13,1,-1,0,10.3,17,4,5,19,2,1,1,0,0,1,1,1,0
train,1437,0,1,0,11,1,-1,0,3.15,11,2,5,19,2,1,0,1,0,1,1,1,0
train,1438,0,0,0,26,1,101,1,3.8666666666666667,9,4,2,8,4,1,0,0,1,1,1,0,1
train,1439,0,0,0,27,1,-1,0,1.4833333333333334,13,3,10,43,5,1,0,1,0,1,1,1,0
train,1440,0,0,0,16,1,-1,0,1.8,12,6,10,41,3,1,0,1,0,1,1,1,0
train,1441,0,0,0,22,1,-1,0,2.2,14,4,4,16,4,1,0,1,0,1,1,1,0
train,1442,0,1,0,29,2,-1,0,17.633333333333333,17,4,7,30,5,1,1,0,0,1,1,1,0
train,1443,0,1,0,5,2,-1,0,3.4166666666666665,14,3,5,18,1,1,0,1,0,1,1,1,0
train,1444,0,0,0,18,2,-1,0,4.1,10,2,5,20,3,1,0,0,1,1,1,1,0
train,1445,0,1,0,11,5,-1,0,4.15,13,3,8,32,2,1,0,1,0,1,1,1,0
train,1446,0,1,0,4,2,105,5,6.0,12,6,12,48,1,1,0,0,1,1,1,0,1
train,1447,0,0,0,16,1,-1,0,2.966666666666667,10,0,5,20,3,1,0,1,0,1,1,1,0
train,1448,0,1,0,29,1,226,2,2.216666666666667,9,4,1,4,4,1,0,0,1,1,1,0,1
train,1449,0,1,0,13,5,-1,0,3.1166666666666667,17,2,4,15,3,1,0,0,1,1,1,1,0
train,1450,0,0,1,9,1,-1,0,5.783333333333333,10,5,7,27,2,1,0,1,0,1,1,1,0
train,1451,0,0,0,27,2,-1,0,3.3,14,4,5,21,4,1,0,0,1,1,1,1,0
train,1452,0,0,0,7,2,-1,0,2.533333333333333,11,3,7,27,2,1,0,1,0,1,1,1,0
train,1453,0,0,0,22,2,-1,0,4.883333333333334,15,6,5,20,3,1,0,0,1,1,1,1,0
train,1454,0,0,0,26,1,-1,0,1.1,10,3,5,21,4,1,0,0,1,1,1,1,0
train,1455,0,0,0,27,3,-1,0,8.716666666666667,16,5,8,34,4,1,0,1,0,1,1,1,0
train,1456,0,0,0,19,4,-1,0,2.5833333333333335,15,4,8,33,3,1,0,0,1,1,1,1,0
train,1457,0,1,0,6,2,254,23,2.1166666666666667,10,4,5,18,1,1,1,0,0,1,1,0,1
train,1458,0,1,0,28,7,-1,0,12.416666666666666,9,3,7,30,5,1,0,1,0,1,1,1,0
train,1459,0,0,0,28,1,91,3,2.5166666666666666,11,3,1,4,4,1,0,1,0,1,1,0,1
train,1460,0,0,0,22,1,-1,0,4.0,13,4,4,16,4,1,0,1,0,1,1,1,0
train,1461,0,1,0,25,2,97,4,16.133333333333333,11,4,11,47,4,1,0,1,0,1,1,0,1
train,1462,0,0,0,3,1,-1,0,11.733333333333333,17,6,7,26,1,1,0,0,1,1,1,1,0
train,1463,0,1,0,3,2,-1,0,5.7,9,4,6,22,1,1,0,0,1,1,1,1,0
train,1464,0,0,0,3,2,-1,0,3.5,9,4,6,22,1,1,1,0,0,1,1,1,0
train,1465,0,0,0,31,2,-1,0,2.4,14,6,7,30,5,1,0,1,0,1,1,1,0
train,1466,0,0,0,1,2,188,2,8.866666666666667,15,3,9,35,1,1,0,1,0,1,1,0,1
train,1467,0,1,0,16,1,-1,0,5.583333333333333,14,0,5,20,3,1,0,0,1,1,1,1,0
train,1468,0,0,0,26,1,-1,0,10.666666666666666,10,3,5,21,4,1,0,1,0,1,1,1,0
train,1469,0,0,0,14,1,-1,0,7.85,17,5,5,19,2,1,0,1,0,1,1,1,0
train,1470,0,1,0,11,4,367,1,2.95,12,2,5,19,2,1,0,0,1,1,1,0,1
train,1471,0,1,1,6,4,-1,0,1.9666666666666666,12,0,6,23,2,1,0,1,0,1,1,1,0
train,1472,0,0,0,30,1,87,1,3.466666666666667,14,5,4,17,5,1,0,1,0,1,1,0,1
train,1473,0,0,0,1,5,-1,0,9.383333333333333,15,0,2,5,1,1,0,0,1,1,1,1,0
train,1474,0,1,0,5,15,-1,0,9.366666666666667,16,6,6,22,1,1,0,1,0,1,1,1,0
train,1475,0,1,0,5,2,-1,0,12.266666666666667,12,6,6,22,1,1,0,0,1,1,1,1,0
train,1476,0,0,0,16,1,91,2,4.916666666666667,14,2,3,11,3,1,0,1,0,1,1,0,1
train,1477,0,1,0,23,1,-1,0,1.5833333333333333,12,5,7,29,4,1,0,1,0,1,1,1,0
train,1478,0,1,0,21,3,-1,0,10.133333333333333,11,0,11,47,4,1,0,0,1,1,1,1,0
train,1479,0,1,0,7,6,-1,0,2.6166666666666667,16,5,5,18,1,1,0,1,0,1,1,1,0
train,1480,0,1,0,11,2,-1,0,15.183333333333334,15,0,7,28,3,1,0,1,0,1,1,1,0
train,1481,0,1,0,4,5,-1,0,2.0833333333333335,12,5,6,22,1,1,0,1,0,1,1,1,0
train,1482,0,1,0,26,3,-1,0,2.9166666666666665,9,3,5,21,4,1,0,1,0,1,1,1,0
train,1483,0,1,0,16,1,-1,0,5.65,14,5,4,15,3,1,0,0,1,1,1,1,0
train,1484,0,1,0,21,1,-1,0,2.033333333333333,15,5,5,20,3,1,0,0,1,1,1,1,0
train,1485,0,1,1,5,2,-1,0,9.366666666666667,10,3,5,18,1,1,0,0,1,1,1,1,0
train,1486,0,1,0,23,3,-1,0,1.2333333333333334,10,5,7,29,4,1,0,1,0,1,1,1,0
train,1487,0,1,1,26,2,-1,0,1.7166666666666666,11,3,5,21,4,1,0,1,0,1,1,1,0
train,1488,0,1,0,30,3,189,1,1.8333333333333333,10,2,11,48,5,1,0,0,1,1,1,0,1
train,1489,0,1,0,29,12,-1,0,1.65,13,4,7,30,5,1,0,0,1,1,1,1,0
train,1490,0,1,0,29,3,426,1,6.583333333333333,13,4,4,17,5,1,0,1,0,1,1,0,1
train,1491,0,0,0,25,1,-1,0,1.9166666666666667,14,4,3,12,4,1,1,0,0,1,1,1,0
train,1492,0,1,0,21,2,-1,0,2.4,9,5,5,20,3,1,0,1,0,1,1,1,0
train,1493,0,1,0,16,1,-1,0,4.066666666666666,11,5,4,15,3,1,0,0,1,1,1,1,0
train,1494,0,0,0,13,4,-1,0,8.4,11,4,5,19,2,1,0,1,0,1,1,1,0
train,1495,0,0,0,8,2,91,7,4.183333333333334,10,5,10,40,2,1,0,0,1,1,1,0,1
train,1496,0,0,0,23,3,-1,0,4.15,10,0,5,21,4,1,0,1,0,1,1,1,0
train,1497,0,1,0,13,2,-1,0,10.183333333333334,13,4,5,19,2,1,0,1,0,1,1,1,0
train,1498,0,0,0,6,1,-1,0,5.366666666666666,10,0,6,23,2,1,1,0,0,1,1,1,0
train,1499,0,0,1,4,2,191,3,5.766666666666667,17,3,2,5,1,1,0,0,1,1,1,0,1
train,1500,0,0,1,19,1,-1,0,2.6166666666666667,14,5,11,46,3,1,0,1,0,1,1,1,0
train,1501,0,0,0,7,1,-1,0,2.466666666666667,12,3,4,14,2,1,0,0,1,1,1,1,0
train,1502,0,1,0,15,2,295,3,1.35,13,6,5,19,2,1,0,1,0,1,1,0,1
train,1503,0,0,0,9,2,-1,0,1.8666666666666667,11,1,2,6,2,1,0,0,1,1,1,1,0
train,1504,0,1,1,20,1,-1,0,26.95,15,0,6,25,4,1,0,1,0,1,1,1,0
train,1505,0,0,0,11,1,-1,0,2.3333333333333335,10,3,8,32,2,1,1,0,0,1,1,1,0
train,1506,0,0,0,13,4,-1,0,3.566666666666667,17,5,8,32,2,1,0,1,0,1,1,1,0
train,1507,0,0,0,26,1,-1,0,4.683333333333334,15,5,3,12,4,1,0,0,1,1,1,1,0
train,1508,0,0,0,28,1,148,4,7.7,12,3,7,30,5,1,0,0,1,1,1,0,1
train,1509,0,1,0,4,3,-1,0,1.0833333333333333,16,6,9,35,1,1,0,1,0,1,1,1,0
train,1510,0,1,0,12,1,-1,0,0.8666666666666667,17,3,5,19,2,1,0,0,1,1,1,1,0
train,1511,0,1,0,13,1,-1,0,9.833333333333334,9,4,5,19,2,1,0,1,0,1,1,1,0
train,1512,0,1,0,8,3,-1,0,3.35,9,4,7,27,2,1,0,1,0,1,1,1,0
train,1513,0,0,0,6,2,-1,0,3.8833333333333333,10,0,6,23,2,1,0,1,0,1,1,1,0
train,1514,0,1,0,9,5,-1,0,18.0,9,0,5,19,2,1,1,0,0,1,1,1,0
train,1515,0,0,0,29,1,91,3,3.4166666666666665,13,2,6,26,5,1,0,0,1,1,1,0,1
train,1516,0,1,0,28,2,-1,0,5.0,10,3,7,30,5,1,0,1,0,1,1,1,0
train,1517,0,1,0,23,1,-1,0,2.7333333333333334,14,5,7,29,4,1,0,0,1,1,1,1,0
train,1518,0,1,1,18,2,178,5,1.7,12,2,5,20,3,1,0,1,0,1,1,0,1
train,1519,0,0,0,2,2,-1,0,8.866666666666667,14,3,6,22,1,1,0,1,0,1,1,1,0
train,1520,0,0,0,4,1,76,1,6.95,13,2,5,18,1,1,0,1,0,1,1,0,1
train,1521,0,0,0,15,1,-1,0,5.683333333333334,9,1,3,11,3,1,1,0,0,1,1,1,0
train,1522,0,1,1,29,23,-1,0,0.16666666666666666,17,4,7,30,5,1,1,0,0,1,1,1,0
train,1523,0,1,0,17,1,317,1,3.0166666666666666,12,6,4,15,3,1,1,0,0,1,1,0,1
train,1524,0,0,0,6,2,-1,0,4.233333333333333,11,5,8,31,1,1,0,1,0,1,1,1,0
train,1525,0,1,0,13,3,174,2,1.35,9,4,5,19,2,1,0,0,1,1,1,0,1
train,1526,0,1,0,8,2,295,1,9.65,16,6,5,18,1,1,0,1,0,1,1,0,1
train,1527,0,0,0,6,2,-1,0,3.7,15,5,8,31,1,1,1,0,0,1,1,1,0
train,1528,0,1,0,20,2,-1,0,2.0833333333333335,14,0,6,25,4,1,1,0,0,1,1,1,0
train,1529,0,1,0,18,2,264,1,2.433333333333333,15,3,2,7,3,1,0,1,0,1,1,0,1
train,1530,0,1,0,28,1,-1,0,13.433333333333334,16,5,5,21,4,1,0,0,1,1,1,1,0
train,1531,0,0,0,6,1,-1,0,2.6666666666666665,15,5,8,31,1,1,0,0,1,1,1,1,0
train,1532,0,1,0,20,2,-1,0,0.3333333333333333,16,2,4,16,4,1,0,1,0,1,1,1,0
train,1533,0,1,1,18,5,-1,0,2.6166666666666667,15,2,5,20,3,1,0,1,0,1,1,1,0
train,1534,0,1,0,12,2,-1,0,12.5,9,3,5,19,2,1,0,1,0,1,1,1,0
train,1535,0,0,0,30,1,-1,0,15.85,13,5,4,17,5,1,0,1,0,1,1,1,0
train,1536,0,1,0,1,1,-1,0,4.8,15,2,6,22,1,1,0,1,0,1,1,1,0
train,1537,0,0,0,19,1,-1,0,6.1,13,2,10,42,4,1,0,0,1,1,1,1,0
train,1538,0,0,0,25,1,388,1,5.3,11,3,2,8,4,1,0,1,0,1,1,0,1
train,1539,0,1,0,4,5,-1,0,0.6666666666666666,17,2,5,18,1,1,0,0,1,1,1,1,0
train,1540,0,0,0,11,4,-1,0,1.3166666666666667,11,4,11,45,2,1,0,1,0,1,1,1,0
train,1541,0,0,0,29,1,-1,0,0.55,9,4,7,30,5,1,0,1,0,1,1,1,0
train,1542,0,1,1,8,6,-1,0,10.433333333333334,10,6,5,18,1,1,0,0,1,1,1,1,0
train,1543,0,1,0,6,2,343,1,11.45,15,4,5,18,1,1,0,1,0,1,1,0,1
train,1544,0,0,0,20,2,-1,0,7.783333333333333,12,5,8,33,3,1,0,0,1,1,1,1,0
train,1545,0,0,0,19,4,-1,0,3.1,9,4,8,33,3,1,0,1,0,1,1,1,0
train,1546,0,1,0,4,1,157,4,12.166666666666666,9,6,9,35,1,1,1,0,0,1,1,0,1
train,1547,0,1,0,5,1,-1,0,3.783333333333333,16,6,6,22,1,1,1,0,0,1,1,1,0
train,1548,0,0,0,30,3,-1,0,1.4166666666666667,10,5,7,30,5,1,1,0,0,1,1,1,0
train,1549,0,0,0,26,1,-1,0,5.383333333333334,9,4,8,34,4,1,0,0,1,1,1,1,0
train,1550,0,0,1,1,4,-1,0,4.35,13,4,7,26,1,1,0,0,1,1,1,1,0
train,1551,0,1,0,19,2,-1,0,2.3333333333333335,13,3,5,20,3,1,1,0,0,1,1,1,0
train,1552,0,0,0,12,3,158,7,3.5,12,1,7,28,3,1,0,1,0,1,1,0,1
train,1553,0,0,0,6,1,280,1,7.333333333333333,15,1,9,36,2,1,0,1,0,1,1,0,1
train,1554,0,0,0,12,1,-1,0,1.0666666666666667,15,3,5,19,2,1,0,0,1,1,1,1,0
train,1555,0,0,0,29,1,-1,0,8.15,14,4,1,4,4,1,1,0,0,1,1,1,0
train,1556,0,1,0,28,1,164,4,2.8833333333333333,9,6,8,34,4,1,0,1,0,1,1,0,1
train,1557,0,1,0,18,1,-1,0,4.083333333333333,9,4,11,46,3,1,0,1,0,1,1,1,0
train,1558,0,1,0,18,2,-1,0,4.216666666666667,16,2,5,20,3,1,0,1,0,1,1,1,0
train,1559,0,0,0,28,2,247,3,11.533333333333333,16,3,1,4,4,1,0,1,0,1,1,0,1
train,1560,0,1,0,23,1,-1,0,4.116666666666666,15,0,5,21,4,1,0,1,0,1,1,1,0
train,1561,0,0,0,12,1,279,2,3.816666666666667,12,1,1,2,2,1,0,0,1,1,1,0,1
train,1562,0,0,0,9,1,462,1,7.083333333333333,9,2,11,45,2,1,0,1,0,1,1,0,1
train,1563,0,0,0,22,1,113,3,1.3833333333333333,13,3,9,38,4,1,1,0,0,1,1,0,1
train,1564,0,1,0,26,3,-1,0,1.1666666666666667,11,3,5,21,4,1,0,1,0,1,1,1,0
train,1565,0,0,0,24,1,83,1,5.25,14,2,8,34,4,1,0,1,0,1,1,0,1
train,1566,0,0,0,1,1,-1,0,0.13333333333333333,12,2,6,22,1,1,0,0,1,1,1,1,0
train,1567,0,0,0,16,5,-1,0,1.9666666666666666,17,5,7,28,3,1,0,1,0,1,1,1,0
train,1568,0,0,1,14,3,-1,0,18.833333333333332,13,3,7,28,3,1,0,1,0,1,1,1,0
train,1569,0,0,0,17,1,196,1,10.1,9,2,8,33,3,1,0,1,0,1,1,0,1
train,1570,0,1,0,13,3,-1,0,5.25,10,4,5,19,2,1,0,1,0,1,1,1,0
train,1571,0,0,0,7,5,-1,0,5.683333333333334,14,6,8,31,1,1,1,0,0,1,1,1,0
train,1572,0,0,0,10,1,96,8,2.45,10,3,11,45,2,1,0,1,0,1,1,0,1
train,1573,0,1,0,11,4,-1,0,2.2333333333333334,14,3,8,32,2,1,0,1,0,1,1,1,0
train,1574,0,0,0,6,3,-1,0,5.066666666666666,17,5,8,31,1,1,0,1,0,1,1,1,0
train,1575,0,1,0,8,2,347,5,3.183333333333333,17,6,5,18,1,1,0,0,1,1,1,0,1
train,1576,0,0,0,29,3,-1,0,8.8,10,4,1,4,4,1,0,0,1,1,1,1,0
train,1577,0,1,0,31,2,-1,0,7.283333333333333,13,6,7,30,5,1,0,1,0,1,1,1,0
train,1578,0,0,1,4,3,-1,0,3.8333333333333335,10,3,8,31,1,1,0,1,0,1,1,1,0
train,1579,0,0,0,24,3,202,2,1.0333333333333334,10,5,12,51,4,1,0,1,0,1,1,0,1
train,1580,0,1,0,28,1,-1,0,1.1333333333333333,13,5,5,21,4,1,0,1,0,1,1,1,0
train,1581,0,1,0,5,1,342,4,1.5333333333333334,17,3,5,18,1,1,0,0,1,1,1,0,1
train,1582,0,0,0,30,1,-1,0,5.383333333333334,16,5,4,17,5,1,1,0,0,1,1,1,0
train,1583,0,1,0,8,1,-1,0,3.316666666666667,9,4,7,27,2,1,0,1,0,1,1,1,0
train,1584,0,1,0,23,1,-1,0,1.5,10,0,5,21,4,1,0,0,1,1,1,1,0
train,1585,0,1,0,7,3,-1,0,1.9,17,5,5,18,1,1,1,0,0,1,1,1,0
train,1586,0,1,0,15,1,-1,0,3.433333333333333,14,6,5,19,2,1,0,1,0,1,1,1,0
train,1587,0,0,0,9,4,-1,0,32.85,9,1,2,6,2,1,0,1,0,1,1,1,0
train,1588,0,0,0,25,7,-1,0,6.05,16,3,8,34,4,1,0,1,0,1,1,1,0
train,1589,0,1,0,25,2,-1,0,8.433333333333334,9,4,3,12,4,1,0,1,0,1,1,1,0
train,1590,0,0,0,4,1,-1,0,9.95,14,2,5,18,1,1,0,0,1,1,1,1,0
train,1591,0,1,0,30,1,-1,0,3.933333333333333,14,5,4,17,5,1,0,1,0,1,1,1,0
train,1592,0,0,0,16,25,-1,0,0.26666666666666666,12,0,5,20,3,1,0,0,1,1,1,1,0
train,1593,0,0,0,21,1,90,5,12.65,9,4,10,42,4,1,0,1,0,1,1,0,1
train,1594,0,0,0,25,1,-1,0,2.066666666666667,14,2,5,21,4,1,0,0,1,1,1,1,0
train,1595,0,0,0,22,4,-1,0,14.4,17,4,7,29,4,1,0,0,1,1,1,1,0
train,1596,0,0,0,17,2,-1,0,1.5333333333333334,13,2,2,7,3,1,0,0,1,1,1,1,0
train,1597,0,1,1,14,2,-1,0,6.666666666666667,10,5,5,19,2,1,0,0,1,1,1,1,0
train,1598,0,1,1,4,5,98,2,1.85,10,3,2,5,1,1,0,1,0,1,1,0,1
train,1599,0,0,0,10,1,-1,0,3.8666666666666667,16,5,12,49,2,1,0,1,0,1,1,1,0
train,1600,0,0,0,7,3,-1,0,1.6166666666666667,14,3,7,27,2,1,1,0,0,1,1,1,0
train,1601,0,1,0,30,2,-1,0,2.95,13,5,4,17,5,1,0,1,0,1,1,1,0
train,1602,0,0,0,22,3,-1,0,3.9833333333333334,10,0,8,34,4,1,0,1,0,1,1,1,0
train,1603,0,1,0,21,1,-1,0,2.7666666666666666,14,5,5,20,3,1,0,1,0,1,1,1,0
train,1604,0,1,0,16,2,-1,0,2.066666666666667,17,3,6,24,3,1,0,0,1,1,1,1,0
train,1605,0,1,0,20,2,-1,0,1.5833333333333333,16,6,11,46,3,1,1,0,0,1,1,1,0
train,1606,0,1,0,31,5,-1,0,0.8166666666666667,10,6,7,30,5,1,0,1,0,1,1,1,0
train,1607,0,1,1,8,1,-1,0,16.366666666666667,9,6,5,18,1,1,0,1,0,1,1,1,0
train,1608,0,1,0,28,1,-1,0,0.4,17,5,5,21,4,1,0,0,1,1,1,1,0
train,1609,0,1,0,12,2,-1,0,2.183333333333333,15,3,5,19,2,1,0,1,0,1,1,1,0
train,1610,0,0,0,27,6,-1,0,0.55,15,4,5,21,4,1,0,1,0,1,1,1,0
train,1611,0,1,0,21,2,113,3,2.716666666666667,10,0,11,47,4,1,0,1,0,1,1,0,1
train,1612,0,1,0,18,1,-1,0,10.166666666666666,15,0,7,29,4,1,0,0,1,1,1,1,0
train,1613,0,0,0,19,9,-1,0,2.3,10,6,6,24,3,1,1,0,0,1,1,1,0
train,1614,0,0,0,29,1,-1,0,24.55,13,4,1,4,4,1,0,0,1,1,1,1,0
train,1615,0,1,0,30,1,-1,0,5.1,13,0,5,22,5,1,0,1,0,1,1,1,0
train,1616,0,1,1,15,1,316,3,2.816666666666667,9,4,4,15,3,1,0,0,1,1,1,0,1
train,1617,0,0,0,25,1,179,2,6.233333333333333,13,5,6,25,4,1,0,0,1,1,1,0,1
train,1618,0,0,0,19,4,-1,0,2.15,13,4,8,33,3,1,0,1,0,1,1,1,0
train,1619,0,1,0,25,3,-1,0,10.433333333333334,10,3,8,34,4,1,0,1,0,1,1,1,0
train,1620,0,1,0,11,2,307,1,4.583333333333333,12,2,5,19,2,1,1,0,0,1,1,0,1
train,1621,0,1,0,26,3,-1,0,1.4833333333333334,9,3,5,21,4,1,0,1,0,1,1,1,0
train,1622,0,1,0,20,3,-1,0,2.2333333333333334,17,4,5,20,3,1,0,0,1,1,1,1,0
train,1623,0,1,0,2,1,-1,0,13.583333333333334,12,3,6,22,1,1,0,1,0,1,1,1,0
train,1624,0,0,1,21,1,-1,0,2.6333333333333333,14,0,11,47,4,1,1,0,0,1,1,1,0
train,1625,0,0,0,21,4,-1,0,15.216666666666667,12,6,8,33,3,1,1,0,0,1,1,1,0
train,1626,1,1,1,9,1,-1,0,3.783333333333333,13,5,7,27,2,1,0,1,0,1,1,1,0
train,1627,0,1,1,11,2,-1,0,7.5,17,5,6,23,2,1,0,0,1,1,1,1,0
train,1628,0,1,1,29,1,-1,0,2.683333333333333,13,6,5,21,4,1,0,0,1,1,1,1,0
train,1629,0,1,0,10,2,92,3,4.433333333333334,15,3,11,45,2,1,0,1,0,1,1,0,1
train,1630,0,1,0,5,1,-1,0,5.216666666666667,17,3,5,18,1,1,1,0,0,1,1,1,0
train,1631,0,1,0,29,13,-1,0,10.266666666666667,16,4,7,30,5,1,0,1,0,1,1,1,0
train,1632,0,0,0,8,3,-1,0,1.7833333333333334,9,2,6,23,2,1,0,0,1,1,1,1,0
train,1633,0,1,0,15,2,294,1,3.816666666666667,16,6,5,19,2,1,0,0,1,1,1,0,1
train,1634,0,1,0,2,1,92,1,6.783333333333333,13,3,6,22,1,1,0,0,1,1,1,0,1
train,1635,0,0,0,27,6,-1,0,9.233333333333333,16,5,8,34,4,1,0,1,0,1,1,1,0
train,1636,0,0,0,4,1,-1,0,7.483333333333333,14,5,6,22,1,1,0,1,0,1,1,1,0
train,1637,0,1,0,20,7,-1,0,0.15,14,0,6,25,4,1,1,0,0,1,1,1,0
train,1638,0,0,0,22,4,-1,0,4.116666666666666,14,0,8,34,4,1,1,0,0,1,1,1,0
train,1639,0,1,0,2,1,-1,0,6.133333333333334,14,2,3,9,1,1,0,0,1,1,1,1,0
train,1640,0,1,0,15,1,-1,0,11.05,17,6,5,19,2,1,0,0,1,1,1,1,0
train,1641,0,1,0,24,1,-1,0,5.433333333333334,11,6,7,29,4,1,0,1,0,1,1,1,0
train,1642,0,1,0,30,29,-1,0,16.883333333333333,11,5,7,30,5,1,0,1,0,1,1,1,0
train,1643,0,1,0,29,2,-1,0,22.716666666666665,16,6,5,21,4,1,1,0,0,1,1,1,0
train,1644,0,1,0,14,2,-1,0,2.216666666666667,9,3,4,15,3,1,1,0,0,1,1,1,0
train,1645,0,0,0,18,2,-1,0,7.9,15,4,11,46,3,1,0,1,0,1,1,1,0
train,1646,0,0,0,30,1,-1,0,2.85,11,5,4,17,5,1,0,1,0,1,1,1,0
train,1647,0,1,0,30,3,-1,0,9.216666666666667,9,0,5,22,5,1,0,0,1,1,1,1,0
train,1648,0,0,1,19,4,182,1,3.4,10,4,2,7,3,1,0,1,0,1,1,0,1
train,1649,0,0,0,23,1,-1,0,2.8833333333333333,10,0,5,21,4,1,0,1,0,1,1,1,0
train,1650,0,0,0,4,3,-1,0,4.466666666666667,9,2,5,18,1,1,0,0,1,1,1,1,0
train,1651,0,0,0,30,1,2,1,1.5166666666666666,9,5,1,4,4,1,1,0,0,1,1,0,1
train,1652,0,1,0,11,19,-1,0,1.7833333333333334,14,5,6,23,2,1,0,0,1,1,1,1,0
train,1653,0,1,0,9,7,248,9,0.13333333333333333,16,1,2,6,2,1,0,1,0,1,1,0,1
train,1654,0,0,0,20,3,-1,0,6.35,13,5,8,33,3,1,0,1,0,1,1,1,0
train,1655,0,1,0,31,17,-1,0,18.133333333333333,13,6,7,30,5,1,0,1,0,1,1,1,0
train,1656,0,0,1,26,2,-1,0,1.7333333333333334,10,4,8,34,4,1,0,1,0,1,1,1,0
train,1657,0,1,0,27,2,-1,0,5.033333333333333,15,0,6,26,5,1,0,0,1,1,1,1,0
train,1658,0,0,0,10,2,-1,0,2.4,17,6,7,27,2,1,0,1,0,1,1,1,0
train,1659,0,1,0,13,2,-1,0,5.233333333333333,9,4,5,19,2,1,0,0,1,1,1,1,0
train,1660,0,1,0,15,1,-1,0,5.283333333333333,17,6,5,19,2,1,0,0,1,1,1,1,0
train,1661,0,0,0,7,1,366,1,2.8333333333333335,14,5,5,18,1,1,0,0,1,1,1,0,1
train,1662,0,1,0,2,3,-1,0,3.4166666666666665,11,3,6,22,1,1,0,1,0,1,1,1,0
train,1663,1,1,1,13,2,-1,0,11.716666666666667,17,5,8,32,2,1,0,0,1,1,1,1,0
train,1664,0,0,1,8,1,-1,0,2.7666666666666666,17,4,7,27,2,1,0,1,0,1,1,1,0
train,1665,0,0,0,1,1,-1,0,0.4666666666666667,10,4,7,26,1,1,1,0,0,1,1,1,0
train,1666,0,1,0,8,1,368,1,5.766666666666667,10,6,5,18,1,1,0,1,0,1,1,0,1
train,1667,0,1,0,15,3,-1,0,13.966666666666667,15,4,7,28,3,1,0,1,0,1,1,1,0
